Date,Time, MAC Address, RSSI, Humidity, Soil Moisture, Outside Temperature, PICO Temperature, Rain Events, Light Level, Battery Level, Overrun,
2021-04-15 ,11 : 32: 42 ,a5:a5:a5:a5:a5:a5 ,-37 ,50 ,86 ,25 ,21 ,0,56,99,,
2021-04-15 ,11 : 33: 21 ,a5:a5:a5:a5:a5:a5 ,-42 ,50 ,86 ,25 ,21 ,0,63,99,,
2021-04-15 ,11 : 33: 47 ,a5:a5:a5:a5:a5:a5 ,-42 ,50 ,86 ,25 ,21 ,0,64,99,,
2021-04-15 ,11 : 34: 52 ,a5:a5:a5:a5:a5:a5 ,-42 ,49 ,86 ,25 ,23 ,0,36,99,,
2021-04-15 ,11 : 35: 12 ,a5:a5:a5:a5:a5:a5 ,-39 ,50 ,86 ,25 ,21 ,0,36,99,,
2021-04-15 ,11 : 35: 45 ,a5:a5:a5:a5:a5:a5 ,-39 ,50 ,86 ,25 ,21 ,0,60,99,,
2021-04-15 ,11 : 37: 12 ,a5:a5:a5:a5:a5:a5 ,-42 ,49 ,86 ,25 ,24 ,0,95,99,,
2021-04-15 ,11 : 37: 36 ,a5:a5:a5:a5:a5:a5 ,-45 ,50 ,86 ,26 ,24 ,0,95,99,,
2021-04-15 ,11 : 38: 07 ,a5:a5:a5:a5:a5:a5 ,-44 ,50 ,86 ,26 ,21 ,0,33,99,,
2021-04-15 ,11 : 38: 40 ,a5:a5:a5:a5:a5:a5 ,-39 ,49 ,86 ,25 ,23 ,0,31,99,,
2021-04-15 ,11 : 40: 57 ,a5:a5:a5:a5:a5:a5 ,-44 ,50 ,86 ,26 ,22 ,0,34,99,,
2021-04-15 ,11 : 42: 37 ,a5:a5:a5:a5:a5:a5 ,-45 ,49 ,86 ,25 ,22 ,0,33,99,,
2021-04-15 ,11 : 43: 20 ,a5:a5:a5:a5:a5:a5 ,-44 ,49 ,86 ,25 ,21 ,0,35,99,,
2021-04-15 ,11 : 43: 40 ,a5:a5:a5:a5:a5:a5 ,-39 ,49 ,86 ,25 ,21 ,0,31,99,,
2021-04-15 ,11 : 46: 44 ,a5:a5:a5:a5:a5:a5 ,-39 ,50 ,86 ,26 ,22 ,0,33,99,,
2021-04-15 ,11 : 46: 55 ,a5:a5:a5:a5:a5:a5 ,-44 ,49 ,86 ,25 ,21 ,0,34,99,,
2021-04-15 ,11 : 47: 56 ,a5:a5:a5:a5:a5:a5 ,-41 ,49 ,86 ,25 ,22 ,0,34,99,,
2021-04-15 ,11 : 48: 51 ,a5:a5:a5:a5:a5:a5 ,-39 ,49 ,86 ,25 ,23 ,0,35,99,,
2021-04-15 ,11 : 49: 34 ,a5:a5:a5:a5:a5:a5 ,-39 ,49 ,86 ,25 ,21 ,0,32,99,,
2021-04-15 ,11 : 49: 38 ,a5:a5:a5:a5:a5:a5 ,-41 ,49 ,86 ,25 ,21 ,0,35,99,,
2021-04-15 ,11 : 50: 31 ,a5:a5:a5:a5:a5:a5 ,-39 ,49 ,86 ,25 ,23 ,0,31,99,,
2021-04-15 ,11 : 50: 55 ,a5:a5:a5:a5:a5:a5 ,-45 ,50 ,86 ,26 ,22 ,0,31,99,,
2021-04-15 ,11 : 52: 11 ,a5:a5:a5:a5:a5:a5 ,-44 ,49 ,86 ,25 ,22 ,0,31,99,,
2021-04-15 ,11 : 52: 42 ,a5:a5:a5:a5:a5:a5 ,-45 ,49 ,86 ,25 ,22 ,0,33,99,,
2021-04-15 ,11 : 52: 55 ,a5:a5:a5:a5:a5:a5 ,-41 ,49 ,86 ,25 ,23 ,0,31,99,,
2021-04-15 ,11 : 54: 21 ,a5:a5:a5:a5:a5:a5 ,-39 ,49 ,86 ,25 ,21 ,0,33,99,,
2021-04-15 ,11 : 54: 43 ,a5:a5:a5:a5:a5:a5 ,-44 ,49 ,86 ,25 ,21 ,0,34,99,,
2021-04-15 ,11 : 55: 07 ,a5:a5:a5:a5:a5:a5 ,-41 ,51 ,86 ,26 ,21 ,0,35,99,,
2021-04-15 ,11 : 55: 46 ,a5:a5:a5:a5:a5:a5 ,-41 ,51 ,86 ,26 ,21 ,0,34,99,,
2021-04-15 ,11 : 56: 23 ,a5:a5:a5:a5:a5:a5 ,-39 ,49 ,86 ,25 ,22 ,0,34,99,,
2021-04-15 ,11 : 57: 09 ,a5:a5:a5:a5:a5:a5 ,-39 ,50 ,86 ,25 ,21 ,0,32,99,,
2021-04-15 ,11 : 57: 42 ,a5:a5:a5:a5:a5:a5 ,-39 ,50 ,86 ,25 ,23 ,0,34,99,,
2021-04-15 ,11 : 58: 21 ,a5:a5:a5:a5:a5:a5 ,-41 ,51 ,86 ,26 ,22 ,0,34,99,,
2021-04-15 ,11 : 59: 18 ,a5:a5:a5:a5:a5:a5 ,-39 ,50 ,86 ,25 ,23 ,0,31,99,,
2021-04-15 ,12 : 00: 35 ,a5:a5:a5:a5:a5:a5 ,-45 ,51 ,86 ,26 ,22 ,0,31,99,,
2021-04-15 ,12 : 00: 50 ,a5:a5:a5:a5:a5:a5 ,-41 ,50 ,86 ,25 ,23 ,0,35,99,,
2021-04-15 ,12 : 01: 19 ,a5:a5:a5:a5:a5:a5 ,-39 ,50 ,86 ,25 ,21 ,0,33,99,,
